id,title,first_name,last_name,email,amount_spent_on_dog_food,dog_size,dog_gender,dog_age
1,Mrs,Frasquito,Dene,fdene0@dell.com,80.05,Small,Male,53
2,Ms,Lawrence,Kardos,lkardos1@diigo.com,66.3,Extra Large,Male,2
3,Rev,Lanna,Wintersgill,lwintersgill2@domainmarket.com,25.84,Large,Female,71
4,Rev,Richmound,Kimmitt,rkimmitt3@jiathis.com,50.76,Medium,Male,9
5,Rev,Valeda,Dallender,vdallender4@theglobeandmail.com,83.41,Extra Large,Female,23
6,Honorable,Duky,Cavell,dcavell5@seesaa.net,80.18,Extra Large,Male,74
7,Rev,Neal,Gabbetis,ngabbetis6@admin.ch,98.59,Large,Male,46
8,Ms,Farrel,Swindin,fswindin7@printfriendly.com,64.2,Small,Male,84
9,Dr,Latrena,Heinsh,lheinsh8@i2i.jp,7.44,Extra Large,Female,69
10,Mrs,Josh,Daunay,jdaunay9@mysql.com,55.84,Medium,Male,24
11,Mr,Gabbie,Caldeyroux,gcaldeyrouxa@ca.gov,30.25,Large,Female,60
12,Dr,Krystle,Fincke,kfinckeb@usatoday.com,58.37,Extra Large,Female,43
13,Dr,Agosto,Bewshaw,abewshawc@oaic.gov.au,45.7,Extra Large,Male,49
14,Ms,Regina,Sinson,rsinsond@stanford.edu,98.51,Large,Female,50
15,Dr,Nefen,Boch,nboche@webnode.com,62.45,Large,Male,82
16,Dr,Conn,Duffrie,cduffrief@arizona.edu,27.78,Large,Male,19
17,Unknown,Karoly,Buxcy,kbuxcyg@howstuffworks.com,68.0,Extra Large,Female,11
18,Ms,Wilow,Tremayle,wtremayleh@timesonline.co.uk,52.88,Large,Female,55
19,Ms,Brooks,Marde,bmardei@smugmug.com,58.36,Extra Small,Male,94
20,Mrs,Harrietta,Libbie,hlibbiej@house.gov,21.72,Medium,Female,11
21,Mrs,Ephrayim,Misson,invalid@email.com,86.15,Extra Large,Male,79
22,Dr,Cecilius,Dimock,cdimockl@symantec.com,44.67,Extra Large,Male,57
23,Mr,Abbe,Curle,acurlem@marketwatch.com,35.0,Extra Large,Female,11
24,Rev,Bald,Hars,bharsn@upenn.edu,50.495000000000005,Large,Male,68
25,Unknown,Jay,Buckle,jbuckleo@archive.org,44.71,Small,Male,61
26,Ms,Malachi,Carillo,mcarillop@army.mil,19.96,Extra Large,Male,29
27,Honorable,Caldwell,Shawcross,cshawcrossq@icq.com,97.59,Extra Small,Male,97
28,Dr,Russell,Grewer,rgrewerr@bloglines.com,36.97,Small,Male,20
29,Ms,Wait,Morsley,wmorsleys@goo.ne.jp,20.2,Extra Large,Male,82
30,Mr,Mellicent,Larking,mlarkingt@engadget.com,80.75,Extra Large,Female,6
31,Dr,Martin,Nairy,mnairyu@biglobe.ne.jp,93.12,Extra Large,Male,95
32,Mr,Sergei,Roseaman,sroseamanv@facebook.com,17.59,Extra Large,Male,86
33,Mrs,Jock,Doonican,jdoonicanw@oaic.gov.au,40.47,Extra Small,Male,48
34,Unknown,Tera,Bresson,tbressonx@reddit.com,93.53,Extra Large,Female,15
35,Dr,Cobby,Massard,cmassardy@berkeley.edu,11.15,Extra Large,Male,41
36,Dr,Gale,Ollerhad,gollerhadz@walmart.com,7.0,Extra Small,Male,83
37,Unknown,Duffy,Heatley,dheatley10@independent.co.uk,91.42,Extra Large,Male,93
38,Rev,Inness,Mauvin,imauvin11@g.co,98.81,Extra Large,Male,12
39,Unknown,Lorna,Ebbitt,lebbitt12@t.co,23.03,Extra Large,Female,50
40,Rev,Basilius,Hall,bhall13@cisco.com,68.98,Extra Large,Male,51
41,Unknown,Q,Dundendale,qdundendale14@naver.com,6.78,Medium,Female,19
42,Mr,Maximo,De Hailes,mdehailes15@hao123.com,66.04,Large,Male,28
43,Rev,Linzy,Brigham,lbrigham16@51.la,50.86,Large,Female,40
44,Dr,Sayers,Brodeau,sbrodeau17@foxnews.com,43.13,Extra Large,Male,58
45,Mr,Neile,Kesper,nkesper18@blogs.com,50.495000000000005,Extra Small,Female,41
46,Honorable,Brucie,Hallyburton,bhallyburton19@sakura.ne.jp,86.85,Small,Male,18
47,Dr,Sharron,Spradbery,sspradbery1a@de.vu,22.26,Extra Small,Female,97
48,Unknown,Benedetto,Sabie,bsabie1b@theguardian.com,46.71,Extra Large,Male,93
49,Honorable,Ricki,Haithwaite,rhaithwaite1c@ebay.com,53.35,Unknown,Male,92
50,Rev,Raynell,Alker,ralker1d@forbes.com,13.42,Extra Large,Female,81
51,Honorable,Jedidiah,Basnett,jbasnett1e@unc.edu,40.24,Extra Large,Male,9
52,Ms,Talya,Brenston,tbrenston1f@sogou.com,99.55,Medium,Female,45
53,Unknown,Jarrad,Rogerot,jrogerot1g@51.la,40.25,Extra Large,Male,86
54,Dr,Pavel,Danter,pdanter1h@purevolume.com,66.63,Extra Large,Male,3
55,Mr,Peggi,McRill,pmcrill1i@instagram.com,93.79,Extra Small,Female,16
56,Rev,Tabby,Balk,tbalk1j@123-reg.co.uk,82.74,Medium,Female,85
57,Mr,Mathew,Thexton,mthexton1k@etsy.com,33.23,Extra Large,Female,86
58,Mrs,Tom,Dunrige,tdunrige1l@examiner.com,50.495000000000005,Extra Small,Male,21
59,Mr,Noreen,Cousins,ncousins1m@posterous.com,96.87,Medium,Female,30
60,Unknown,Penni,Fray,pfray1n@slate.com,43.07,Extra Large,Female,2
61,Ms,Marvin,Buxy,mbuxy1o@eventbrite.com,7.83,Small,Male,56
62,Mr,Engelbert,Sturge,esturge1p@mashable.com,16.65,Extra Large,Male,94
63,Rev,Mata,Georg,mgeorg1q@shareasale.com,69.33,Large,Male,98
64,Ms,Wendeline,Stockings,wstockings1r@marketwatch.com,66.72,Extra Large,Female,40
65,Dr,Des,McConway,dmcconway1s@techcrunch.com,98.14,Extra Small,Male,23
66,Mrs,Val,Groveham,vgroveham1t@craigslist.org,60.61,Medium,Male,18
67,Dr,Jeremy,Lydiard,jlydiard1u@biblegateway.com,60.21,Small,Male,61
68,Ms,Flor,Gleadle,fgleadle1v@cdc.gov,92.45,Extra Small,Female,94
69,Unknown,Dixie,Vineall,dvineall1w@printfriendly.com,98.46,Extra Small,Female,79
70,Dr,Skyler,Filip,sfilip1x@myspace.com,29.03,Extra Large,Male,68
71,Mr,Tally,Bazely,tbazely1y@house.gov,97.82,Extra Large,Female,61
72,Honorable,Sib,Syddie,ssyddie1z@reverbnation.com,1.06,Small,Female,60
73,Rev,Dugald,Dreakin,ddreakin20@histats.com,20.94,Extra Large,Male,21
74,Ms,Bernette,Crigin,bcrigin21@blogtalkradio.com,66.29,Large,Female,32
75,Rev,Olive,Casale,ocasale22@mozilla.org,40.22,Extra Small,Female,7
76,Honorable,Miof mela,Joire,mjoire23@mlb.com,48.3,Extra Large,Female,39
77,Mr,Leanora,Sallowaye,lsallowaye24@51.la,33.25,Extra Small,Female,57
78,Dr,Odell,Benkin,obenkin25@phpbb.com,33.84,Small,Male,77
79,Rev,Ker,Leate,kleate26@lulu.com,8.45,Small,Unknown,67
80,Mr,Somerset,Bester,sbester27@stumbleupon.com,83.16,Extra Small,Male,33
81,Mr,Elmer,Sinden,esinden28@nifty.com,35.3,Small,Male,19
82,Honorable,Clerissa,Meryett,cmeryett29@reuters.com,97.43,Medium,Female,37
83,Unknown,Manfred,Withull,invalid@email.com,89.2,Extra Small,Male,98
84,Dr,Orelia,Clemenzo,oclemenzo2b@baidu.com,85.97,Medium,Female,12
85,Honorable,Tova,Gilston,tgilston2c@macromedia.com,54.47,Small,Female,17
86,Rev,Ynez,Embery,yembery2d@merriam-webster.com,9.62,Large,Female,56
87,Mr,Jewel,Spellward,jspellward2e@webeden.co.uk,86.09,Medium,Female,82
88,Rev,AL,Oland,aoland2f@umich.edu,7.11,Extra Large,Male,55
89,Mrs,Brendon,Prop,bprop2g@abc.net.au,13.72,Extra Large,Male,19
90,Mr,Nobie,Mauro,nmauro2h@sbwire.com,83.26,Extra Large,Male,71
91,Mr,Peterus,Dobney,pdobney2i@com.com,8.46,Unknown,Male,57
92,Rev,Reube,Tandy,rtandy2j@walmart.com,50.32,Small,Male,69
93,Honorable,Randee,Aberchirder,raberchirder2k@parallels.com,20.58,Large,Female,47
94,Honorable,Marris,Diche,mdiche2l@hatena.ne.jp,67.35,Extra Large,Female,79
95,Mr,Ollie,Creus,ocreus2m@hc360.com,86.89,Extra Large,Male,44
96,Dr,Munmro,Lehemann,mlehemann2n@ning.com,36.29,Extra Large,Male,41
97,Mr,Aggi,Coppen,acoppen2o@hc360.com,1.98,Extra Large,Female,90
98,Rev,Radcliffe,Kapelhoff,rkapelhoff2p@desdev.cn,90.54,Extra Large,Male,86
99,Honorable,Eloisa,Guterson,eguterson2q@wiley.com,98.35,Large,Female,36
100,Rev,Athena,Lisciandri,alisciandri2r@msu.edu,98.16,Extra Small,Female,4
101,Mr,Fredia,Ryves,fryves2s@ovh.net,64.15,Extra Small,Female,40
102,Ms,Bob,Tollow,btollow2t@dyndns.org,28.05,Extra Large,Male,79
103,Mrs,Randene,Scholler,rscholler2u@unesco.org,92.69,Large,Female,20
104,Mr,Anna-maria,Stit,astit2v@unblog.fr,60.36,Large,Female,91
105,Mr,Leland,Vedishchev,lvedishchev2w@sfgate.com,14.06,Extra Large,Female,25
